Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
0.000034,SusumBot,Tick,,,,,,0.00,3579.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000034,DynamicInventory,Tick,,,,,,0.00,3579.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.017660,DynamicInventory,Insert,1,B,50,3578.00,GFD,0.00,3579.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.017756,DynamicInventory,Insert,2,S,50,3579.00,GFD,0.00,3579.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.017967,SusumBot,Insert,1,B,40,3578.00,GFD,0.00,3579.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.018031,SusumBot,Insert,2,S,40,3579.00,GFD,0.00,3579.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.018078,SusumBot,Insert,3,B,10,3577.00,GFD,0.00,3579.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.018125,SusumBot,Insert,4,S,10,3580.00,GFD,0.00,3579.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.250543,SusumBot,Tick,,,,,,0.00,3577.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.250543,DynamicInventory,Tick,,,,,,0.00,3577.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.253013,DynamicInventory,Cancel,1,B,-50,3578.00,GFD,0.00,3577.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.253221,DynamicInventory,Cancel,2,S,-50,3579.00,GFD,0.00,3577.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.463561,SusumBot,Fill,1,B,-1,3578.00,GFD,-0.36,3577.00,3578.00,-3577.64,0,1,0.36,-0.36,0.00,1,0
0.463561,SusumBot,Hedge,,S,1,3576.50,,0.00,3577.00,3578.00,-1.14,-1,1,-0.14,-0.36,0.50,1,0
0.501045,SusumBot,Tick,,,,,,0.00,3577.00,3578.00,-1.14,-1,1,-0.14,-0.36,0.50,1,0
0.501045,DynamicInventory,Tick,,,,,,0.00,3577.00,3578.00,0.00,0,0,0.00,0.00,0.00,0,0
0.504458,DynamicInventory,Insert,3,B,50,3576.00,GFD,0.00,3577.00,3578.00,0.00,0,0,0.00,0.00,0.00,0,0
0.504863,DynamicInventory,Insert,4,S,50,3577.00,GFD,0.00,3577.00,3578.00,0.00,0,0,0.00,0.00,0.00,0,0
0.504863,SusumBot,Fill,1,B,-39,3578.00,GFD,-13.95,3577.00,3578.00,-139529.19,-1,40,13.81,-14.31,0.50,40,0
0.504863,SusumBot,Hedge,,S,39,3576.50,,0.00,3577.00,3578.00,-45.69,-40,40,-5.69,-14.31,19.50,40,0
0.504863,DynamicInventory,Fill,4,S,-39,3578.00,GFD,27.91,3577.00,3578.00,139514.09,0,-39,-27.91,27.91,27.91,0,39
0.504863,DynamicInventory,Hedge,,B,39,3576.50,,0.00,3577.00,3578.00,30.59,39,-39,-8.41,27.91,27.91,0,39
0.504863,SusumBot,Fill,3,B,-10,3577.00,GFD,-3.58,3577.00,3577.00,-35812.11,-40,50,-42.11,-17.89,55.92,50,0
0.504863,SusumBot,Hedge,,S,10,3576.50,,0.00,3577.00,3577.00,-47.11,-50,50,-47.11,-17.89,60.92,50,0
0.504863,DynamicInventory,Fill,4,S,-11,3577.00,GFD,7.87,3577.00,3577.00,39369.72,39,-50,22.72,35.78,27.91,0,50
0.504863,DynamicInventory,Hedge,,B,11,3576.50,,0.00,3577.00,3577.00,28.22,50,-50,28.22,35.78,27.91,0,50
0.751108,SusumBot,Tick,,,,,,0.00,3577.00,3577.00,-47.11,-50,50,-47.11,-17.89,60.92,50,0
0.751108,DynamicInventory,Tick,,,,,,0.00,3577.00,3577.00,28.22,50,-50,28.22,35.78,27.91,0,50
1.001024,SusumBot,Tick,,,,,,0.00,3577.00,3577.00,-47.11,-50,50,-47.11,-17.89,60.92,50,0
1.001024,DynamicInventory,Tick,,,,,,0.00,3577.00,3577.00,28.22,50,-50,28.22,35.78,27.91,0,50
1.250749,SusumBot,Tick,,,,,,0.00,3577.00,3577.00,-47.11,-50,50,-47.11,-17.89,60.92,50,0
1.250749,DynamicInventory,Tick,,,,,,0.00,3577.00,3577.00,28.22,50,-50,28.22,35.78,27.91,0,50
1.252500,SusumBot,Cancel,2,S,-40,3579.00,GFD,0.00,3577.00,3577.00,-47.11,-50,50,-47.11,-17.89,60.92,50,0
